Worker ID,UPDATE-PM_OSS_unique_worker
A1JI19KPIVNL3Y,1
A11F3MA5FWH6SJ,1
A2M183CETUMR96,1
A1ODA3Q5H6HTDQ,1
A2BABL5AHUOYC7,1
A1F6MWP9A0XLJQ,1
A3I40B0FATY8VH,1
AV5FCKI1TTSKR,1
A3N7R7P9HP2YB6,1
A2RBF3IIJP15IH,1
A2V27A9GZA1NR2,1
A3L60SOWLYEDN2,1
A2S0MB5JFG8DF,1
AD15OW944ZV20,1
A9LSEP71DNP4O,1
AONSG5WOC3OX0,1
A22HIX1M4QXZBB,1
A21UA6O7ZFAIQJ,1
AXTZU0PO55S3S,1
A8CD2WIF5DT1J,1
AUZNL6ARA1UEC,1
A2B153AHPWHLH1,1
A21AOJ6CWLKOME,1
A26M997VYVK0E6,1
A3T3KEK5G6JYTZ,1
A4T4577P6JL6R,1
AU849EHZNGV2Z,1
A3226S0VS9OEKO,1
A3IMB1JAMHP1KK,1
ALU19ABETSAY5,1
AQYYBOOF0846O,1
A13GUTDMGGZZDL,1
A16TN9IF4J115Q,1
A1F0VEHWK3IAF4,1
A1NOUBYTTZNNAZ,1
A1SGTL6LGLW4DK,1
A24GX1OZE6AY04,1
A28RL79ONUXTET,1
A2E5CA83JIWPLF,1
A2FFCQ9WU6R764,1
A2I6HVUDBTGD1,1
A2KW26KE43UBRS,1
A2MFMT03E21ZIT,1
A2OT9ZJC4MQBS8,1
A2PPTQXFVA9H38,1
A2U556B3L5HSRO,1
A3798OFI4BH24,1
A37EV8RZ82WT8E,1
A3JJXDML3XNSQP,1
A3MJQ51KN9CMQ4,1
A3QDDYBRNDFRXX,1
A3RC6TFQ9QHMXI,1
A5P12YJP805RG,1
AGANKP4PUZ4NC,1
AGW8QHJ3C1U53,1
AKIT35WR8HEQ3,1
ATPW1MWLW7RBL,1
AV22FQTJNBUZT,1
A213MQIPPTBR38,1
A3JQ2LIT3E4TA2,1
A2ONILC0LZKG6Y,1
ANX6Q4NMZL8EI,1
A1BRJXBMTURQNT,1
A3F8K7ZV8AX8UR,1
AKC9H6IX5YCG4,1
A2VO0CD0Z21DE4,1
A2KLIBLDVDV144,1
A1PVX1OVM3NPGX,1
A3K1X90ANB3LLA,1
A27EV0216FCLJW,1
A3VJKZXNKB9QLX,1
ATM3WE6IPFLOU,1
A7VA2Y4H6U31O,1
ACKG8OU1KHKO2,1
A1DKVUTOBPQH11,1
A12J4IRF5Z06BT,1
A394S7JSNUA3TS,1
A1ZD1JBHH7KEMA,1
A1F9KLZGHE9DTA,1
ALYR5CI2SM2JC,1
A3OZHKAI24FEIE,1
AXFP50XOZD2NI,1
AFFXVHHBUWW4D,1
AB8XECKH1JO8P,1
A2S7ZT3VZBU2UA,1
ANZBO8QBL5XIU,1
AY7LRW5Q88WL7,1
A2ZDWWWAZUYHFT,1
A1HTR3THFK84RM,1
A14PYGIZ0EAXF7,1
AU6X92Y30ALJY,1
A20X6V1AAXZGNZ,1
A2RINH8P33GL6H,1
A3IVMXS41NL0IX,1
AK1LS2LT9U0O0,1
A2SM1AVUVGBTH3,1
A37R0JYAB3QEX9,1
AQAHBOI7F89RS,1
A12UVATD5QVM9D,1
A1C59M3HPCO503,1
A304UJAE051J89,1
A1OZPLHNIU1519,1
A13EXIOBU0UVX4,1
A1CDLCVABFTQJD,1
A1198W1SPF1R4,1
A3D1F7PGBYEA5F,1
A2QFD5ODT92HFY,1
A24LUXW1DB1QI5,1
A1ZE87WEYCA44A,1
A1ATL3G98SFW4V,1
A1QC1K71RGKZBI,1
A2I68SNRG9QUY7,1
A2NAKIXS3DVGAA,1
A6M7YIG6KKHPA,1
A3J4YYW1M62T39,1
A1MJVTR0PCKBWW,1
A1LTR868E1EOHC,1
A2IFHU3P1MF54K,1
A2FOUSWQDYHIE0,1
A18SJJAWGXVXP5,1
A1UCO0LCWHWED6,1
A2A5HAPJD18TRU,1
A1J9AMMSVJY05Q,1
A3C1QLGNYG36M1,1
A25S9Y5DZ9OR16,1
AI9QOT5C5DN1P,1
ARR9GKAG3JFE5,1
A1NIKHUA79SWGD,1
A3E3H1NCSN4DQK,1
ALSUBWLHJ45UT,1
A2GM1ZIBRBHBK7,1
A1WYEHI239DNWP,1
A14RXHR3LV6HD0,1
A31681CCEVDIH3,1
A3PNXQ5459AZI1,1
A2Z9ZZ5338VZOK,1
AQPFTUIJ0PW2N,1
A1PS8FTSVOJ4PB,1
A25CZJEFKXF4UV,1
AYPP7T2JCJYQ3,1
ALVDC8JPRXPF9,1
ACJNWSBIVI46H,1
AT0W0DYUPDXBI,1
A34AZLYRHH6JJA,1
A1RQ8PX7A0CH3C,1
A1W7T8V97ZPUH0,1
A2WNTI69VVVWMZ,1
AM6XJQNLFEV4J,1
A3U27ZHUGOPIAN,1
AABZGLZ5QWCG0,1
A2ZK465GJMV3QT,1
A6IKEWK6FWOLC,1